,TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,addr1,addr2,dist1,dist2
37495,3024495,1,932078,150.0,H,visa,credit,icloud.com,icloud.com,325.0,87.0,,
37502,3024502,1,932170,350.0,R,visa,credit,gmail.com,gmail.com,204.0,87.0,,
37504,3024504,1,932196,150.0,H,visa,credit,icloud.com,icloud.com,418.0,87.0,,
37517,3024517,1,932335,175.0,R,visa,credit,gmail.com,gmail.com,315.0,87.0,,
37519,3024519,1,932358,250.0,R,visa,credit,gmail.com,gmail.com,204.0,87.0,,
37521,3024521,1,932370,94.0,H,visa,credit,outlook.com,outlook.com,315.0,87.0,,
37524,3024524,1,932390,175.0,R,visa,credit,gmail.com,gmail.com,325.0,87.0,,
37547,3024547,1,932694,250.0,R,visa,debit,gmail.com,gmail.com,337.0,87.0,,
37784,3024784,1,935759,59.0,W,mastercard,debit,gmail.com,,272.0,87.0,0.0,
37818,3024818,1,936147,67.95,W,mastercard,debit,yahoo.com,,325.0,87.0,0.0,
37840,3024840,1,936551,59.0,W,mastercard,debit,live.com,,181.0,87.0,11.0,
37862,3024862,1,936790,59.0,W,visa,debit,,,384.0,87.0,,
37914,3024914,1,937363,72.0,W,mastercard,credit,gmail.com,,204.0,87.0,,
37999,3024999,1,938326,97.0,W,visa,debit,anonymous.com,,325.0,87.0,2.0,
38236,3025236,1,941299,150.0,H,visa,credit,gmail.com,,122.0,87.0,,
38313,3025313,1,942284,59.0,W,mastercard,debit,,,204.0,87.0,,
38440,3025440,1,943891,171.0,W,visa,credit,att.net,,251.0,87.0,,
38450,3025450,1,943977,59.233000000000004,C,mastercard,debit,gmail.com,gmail.com,161.0,60.0,,
38458,3025458,1,944130,59.233000000000004,C,mastercard,debit,gmail.com,gmail.com,161.0,60.0,,
38538,3025538,1,944943,59.233000000000004,C,mastercard,debit,hotmail.com,hotmail.com,161.0,60.0,,
38571,3025571,1,945407,59.233000000000004,C,mastercard,debit,hotmail.com,hotmail.com,161.0,60.0,,
38609,3025609,1,945781,77.0,W,mastercard,debit,,,387.0,87.0,,
38694,3025694,1,947173,49.0,W,visa,debit,,,387.0,87.0,,
38707,3025707,1,947389,161.0,W,visa,debit,,,122.0,87.0,,
38711,3025711,1,947420,250.0,R,american express,credit,anonymous.com,mail.com,325.0,87.0,,
38714,3025714,1,947457,250.0,R,american express,credit,anonymous.com,mail.com,325.0,87.0,,
38730,3025730,1,947637,186.0,W,visa,debit,,,122.0,87.0,,
38805,3025805,1,948445,4.431,C,visa,credit,gmail.com,gmail.com,,,,
38855,3025855,1,949222,117.0,W,mastercard,credit,,,325.0,87.0,,
38928,3025928,1,950152,117.0,W,visa,debit,gmail.com,,476.0,87.0,1.0,
38988,3025988,1,951028,107.95,W,visa,credit,hotmail.com,,226.0,87.0,5.0,
39005,3026005,1,951314,107.95,W,visa,credit,hotmail.com,,226.0,87.0,,
39058,3026058,1,952066,445.0,W,mastercard,debit,gmail.com,,143.0,87.0,108.0,
39066,3026066,1,952166,54.5,W,visa,debit,msn.com,,325.0,87.0,22.0,
39097,3026097,1,952596,45.0,W,visa,debit,msn.com,,325.0,87.0,,
39139,3026139,1,953364,107.95,W,visa,credit,hotmail.com,,226.0,87.0,5.0,
39143,3026143,1,953389,24.5,W,mastercard,debit,,,184.0,87.0,19.0,
39164,3026164,1,953782,335.0,W,visa,debit,,,122.0,87.0,,
39186,3026186,1,954135,226.0,W,visa,debit,,,122.0,87.0,,
39234,3026234,1,954870,14.692,C,visa,debit,icloud.com,icloud.com,,,,
39277,3026277,1,955584,50.08,C,visa,credit,gmail.com,gmail.com,465.0,60.0,,5.0
39321,3026321,1,956244,445.0,W,visa,debit,yahoo.com,,299.0,87.0,,
39338,3026338,1,956483,335.0,W,visa,debit,yahoo.com,,299.0,87.0,5.0,
39354,3026354,1,956683,24.0,W,mastercard,debit,yahoo.com,,184.0,87.0,,
39463,3026463,1,958307,12.825999999999999,C,visa,debit,gmail.com,gmail.com,466.0,60.0,,
39488,3026488,1,958871,261.95,W,visa,credit,anonymous.com,,420.0,87.0,1829.0,
39515,3026515,1,959239,450.0,H,visa,debit,gmail.com,gmail.com,469.0,87.0,,
39556,3026556,1,959767,19.939,C,visa,debit,gmail.com,gmail.com,,,,
39602,3026602,1,960432,159.859,C,mastercard,credit,gmail.com,gmail.com,,,,
39604,3026604,1,960491,159.859,C,mastercard,credit,gmail.com,gmail.com,,,,
39830,3026830,1,966246,500.0,W,visa,credit,yahoo.com,,181.0,87.0,9.0,
39839,3026839,1,966461,500.0,W,visa,credit,yahoo.com,,181.0,87.0,,
39984,3026984,1,973327,286.95,W,visa,credit,aol.com,,177.0,87.0,26.0,
40040,3027040,1,980248,834.0,W,mastercard,credit,,,494.0,87.0,4.0,
40046,3027046,1,982333,554.0,W,mastercard,credit,,,494.0,87.0,4.0,
40058,3027058,1,985872,2680.99,W,visa,debit,,,251.0,87.0,,
40109,3027109,1,994214,72.0,W,mastercard,credit,gmail.com,,204.0,87.0,,
40125,3027125,1,994882,335.0,W,mastercard,credit,yahoo.com,,327.0,87.0,10.0,
40147,3027147,1,996527,100.0,H,visa,credit,yahoo.com,yahoo.com,315.0,87.0,,
40183,3027183,1,997909,450.0,H,mastercard,credit,gmail.com,gmail.com,441.0,87.0,,
40192,3027192,1,998301,171.0,W,mastercard,debit,yahoo.com,,123.0,87.0,12.0,
40244,3027244,1,1000055,117.0,W,visa,debit,gmail.com,,433.0,87.0,56.0,
40257,3027257,1,1000401,117.0,W,visa,debit,gmail.com,,476.0,87.0,,
40459,3027459,1,1003956,390.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
40462,3027462,1,1004036,150.0,H,visa,credit,gmail.com,gmail.com,330.0,87.0,,
40482,3027482,1,1004247,150.0,H,visa,credit,gmail.com,gmail.com,272.0,87.0,,
40524,3027524,1,1004779,78.822,C,mastercard,debit,,,161.0,60.0,,
40552,3027552,1,1005247,56.551,C,mastercard,debit,gmail.com,gmail.com,431.0,60.0,,
40559,3027559,1,1005326,56.551,C,mastercard,debit,gmail.com,gmail.com,431.0,60.0,,
40704,3027704,1,1007311,26.585,C,visa,credit,hotmail.com,hotmail.com,,,,
40869,3027869,1,1009124,39.0,W,mastercard,credit,aol.com,,204.0,87.0,,
40932,3027932,1,1010079,56.5,W,visa,debit,gmail.com,,441.0,87.0,3.0,
40960,3027960,1,1010516,15.0,W,mastercard,debit,yahoo.com,,184.0,87.0,,
40966,3027966,1,1010600,82.95,W,visa,debit,,,204.0,87.0,,
40973,3027973,1,1010644,150.0,H,mastercard,credit,gmail.com,gmail.com,472.0,87.0,,
40977,3027977,1,1010708,150.0,H,mastercard,credit,gmail.com,gmail.com,472.0,87.0,,
41000,3028000,1,1010912,38.42,C,mastercard,credit,yahoo.com,yahoo.com,483.0,60.0,,263.0
41026,3028026,1,1011345,18.656,C,visa,credit,gmail.com,gmail.com,465.0,60.0,,
41029,3028029,1,1011394,18.656,C,visa,credit,gmail.com,gmail.com,465.0,60.0,,
41031,3028031,1,1011432,280.0,W,visa,credit,gmail.com,,441.0,87.0,,
41035,3028035,1,1011465,90.0,W,visa,debit,gmail.com,,204.0,87.0,,
41044,3028044,1,1011584,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
41078,3028078,1,1011991,15.0,W,mastercard,debit,yahoo.com,,184.0,87.0,,
41092,3028092,1,1012143,280.0,W,visa,credit,gmail.com,,441.0,87.0,5.0,
41113,3028113,1,1012311,335.0,W,visa,debit,yahoo.com,,299.0,87.0,5.0,
41146,3028146,1,1012671,280.0,W,visa,debit,yahoo.com,,299.0,87.0,5.0,
41149,3028149,1,1012693,134.673,C,mastercard,credit,gmail.com,gmail.com,130.0,60.0,,35.0
41157,3028157,1,1012754,500.0,W,visa,debit,yahoo.com,,204.0,87.0,1.0,
41232,3028232,1,1013681,77.0,W,mastercard,debit,gmail.com,,191.0,87.0,37.0,
41247,3028247,1,1013886,152.16299999999998,C,mastercard,credit,gmail.com,gmail.com,465.0,60.0,,7.0
41262,3028262,1,1014031,152.16299999999998,C,mastercard,credit,gmail.com,gmail.com,130.0,60.0,,7.0
41300,3028300,1,1014672,54.5,W,visa,debit,,,387.0,87.0,1.0,
41324,3028324,1,1014827,121.73100000000001,C,mastercard,credit,gmail.com,gmail.com,130.0,60.0,,7.0
41325,3028325,1,1014884,49.0,W,visa,debit,gmail.com,,126.0,87.0,1.0,
41330,3028330,1,1014943,117.0,W,visa,debit,gmail.com,,384.0,87.0,,
41422,3028422,1,1016276,150.0,H,visa,debit,gmail.com,gmail.com,272.0,87.0,,
41432,3028432,1,1016410,150.0,H,visa,debit,gmail.com,gmail.com,272.0,87.0,,
41451,3028451,1,1016661,100.0,H,visa,debit,gmail.com,gmail.com,272.0,87.0,,
41453,3028453,1,1016686,64.13,C,visa,debit,hotmail.com,hotmail.com,239.0,60.0,,293.0
41464,3028464,1,1016759,64.13,C,visa,credit,hotmail.com,hotmail.com,239.0,60.0,,293.0
41472,3028472,1,1016826,64.13,C,mastercard,debit,hotmail.com,hotmail.com,239.0,60.0,,293.0
41478,3028478,1,1016881,64.13,C,visa,credit,hotmail.com,hotmail.com,239.0,60.0,,293.0
41498,3028498,1,1017029,64.13,C,visa,debit,hotmail.com,hotmail.com,239.0,60.0,,293.0
41563,3028563,1,1017769,10.0,S,visa,debit,,gmail.com,330.0,87.0,,10.0
41568,3028568,1,1017781,644.95,W,visa,credit,gmail.com,,330.0,87.0,79.0,
41571,3028571,1,1017789,40.0,H,visa,credit,comcast.net,,299.0,87.0,,
41580,3028580,1,1017913,76.023,C,visa,credit,anonymous.com,anonymous.com,,,,10.0
41585,3028585,1,1017980,76.023,C,visa,credit,anonymous.com,anonymous.com,,,,10.0
41650,3028650,1,1018687,99.11,C,visa,debit,gmail.com,gmail.com,465.0,60.0,,7.0
41659,3028659,1,1018789,99.11,C,visa,debit,gmail.com,gmail.com,465.0,60.0,,7.0
41688,3028688,1,1019080,161.0,W,visa,debit,,,122.0,87.0,,
41695,3028695,1,1019187,644.95,W,visa,credit,gmail.com,,330.0,87.0,79.0,
41716,3028716,1,1019345,141.0,W,visa,debit,,,122.0,87.0,,
41789,3028789,1,1020082,49.0,W,visa,debit,gmail.com,,264.0,87.0,,
41811,3028811,1,1020274,49.0,W,visa,debit,,,264.0,87.0,8.0,
41812,3028812,1,1020308,77.0,W,mastercard,debit,gmail.com,,272.0,87.0,,
41820,3028820,1,1020382,226.0,W,visa,debit,gmail.com,,204.0,87.0,4.0,
41893,3028893,1,1021225,29.0,W,visa,debit,,,264.0,87.0,8.0,
41903,3028903,1,1021339,226.0,W,visa,debit,gmail.com,,299.0,87.0,1.0,
41932,3028932,1,1021670,0.424,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,
41936,3028936,1,1021703,135.468,C,visa,credit,anonymous.com,anonymous.com,,,,10.0
41956,3028956,1,1021928,135.468,C,visa,credit,anonymous.com,anonymous.com,,,,10.0
41962,3028962,1,1021983,0.424,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,476.0
42115,3029115,1,1023610,64.13,C,mastercard,credit,hotmail.com,hotmail.com,161.0,60.0,,
42130,3029130,1,1023743,64.13,C,mastercard,credit,hotmail.com,hotmail.com,161.0,60.0,,
42215,3029215,1,1024643,0.467,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,
42219,3029219,1,1024699,0.424,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,
42252,3029252,1,1024986,141.0,W,visa,debit,,,122.0,87.0,,
42265,3029265,1,1025159,0.424,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,33.0
42294,3029294,1,1025617,365.0,W,mastercard,credit,yahoo.com,,433.0,87.0,,
42304,3029304,1,1025765,1.59,C,visa,credit,hotmail.com,hotmail.com,305.0,60.0,,476.0
42329,3029329,1,1026072,50.0,H,visa,credit,yahoo.com,yahoo.com,231.0,87.0,,
42360,3029360,1,1026437,150.0,H,mastercard,credit,gmail.com,gmail.com,472.0,87.0,,
42361,3029361,1,1026442,40.927,C,mastercard,credit,gmail.com,gmail.com,,,,
42365,3029365,1,1026502,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
42397,3029397,1,1026736,141.0,W,visa,debit,,,122.0,87.0,,
42447,3029447,1,1027181,100.0,H,visa,credit,gmail.com,,122.0,87.0,,
42462,3029462,1,1027418,23.087,C,mastercard,credit,hotmail.com,hotmail.com,,,,
42521,3029521,1,1028064,117.0,W,mastercard,credit,yahoo.com,,,,,
42535,3029535,1,1028197,29.85,C,mastercard,debit,gmail.com,gmail.com,,,,
42538,3029538,1,1028213,14.808,C,mastercard,credit,gmail.com,gmail.com,,,,
42598,3029598,1,1029040,77.0,W,mastercard,credit,gmail.com,,272.0,87.0,,
42786,3029786,1,1031280,117.0,W,visa,debit,gmail.com,,204.0,87.0,,
42813,3029813,1,1031561,117.0,W,visa,debit,gmail.com,,204.0,87.0,4.0,
42911,3029911,1,1032776,26.818,C,mastercard,credit,gmail.com,gmail.com,,,,
43057,3030057,1,1034409,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
43077,3030077,1,1034552,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
43105,3030105,1,1034966,443.0,W,mastercard,debit,hotmail.com,,191.0,87.0,8.0,
43139,3030139,1,1035315,90.24799999999999,C,mastercard,credit,gmail.com,gmail.com,161.0,60.0,,185.0
43164,3030164,1,1035681,92.0,W,visa,debit,,,420.0,87.0,20.0,
43194,3030194,1,1036007,600.0,R,discover,credit,gmail.com,gmail.com,177.0,87.0,,
43204,3030204,1,1036160,43.95,W,visa,debit,gmail.com,,264.0,87.0,,
43228,3030228,1,1036436,500.0,R,discover,credit,gmail.com,gmail.com,123.0,87.0,,
43394,3030394,1,1038334,87.0,W,visa,debit,mail.com,,325.0,87.0,32.0,
43409,3030409,1,1038549,11.077,C,visa,debit,gmail.com,gmail.com,359.0,60.0,,202.0
43462,3030462,1,1039126,311.95,W,visa,credit,gmail.com,,330.0,87.0,213.0,
43545,3030545,1,1040221,390.0,W,visa,debit,yahoo.com,,299.0,87.0,,
43571,3030571,1,1040587,390.0,W,visa,debit,yahoo.com,,299.0,87.0,,
43617,3030617,1,1041283,18.602999999999998,C,visa,debit,anonymous.com,anonymous.com,161.0,60.0,,199.0
43618,3030618,1,1041286,445.0,W,mastercard,debit,gmail.com,,191.0,87.0,8.0,
43625,3030625,1,1041367,18.602999999999998,C,visa,debit,anonymous.com,anonymous.com,161.0,60.0,,199.0
43631,3030631,1,1041496,54.0,W,visa,debit,anonymous.com,,325.0,87.0,2.0,
43672,3030672,1,1042157,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
43901,3030901,1,1045712,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
43926,3030926,1,1046150,475.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
43941,3030941,1,1046475,445.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
43974,3030974,1,1047138,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
43975,3030975,1,1047181,49.0,W,visa,debit,gmail.com,,325.0,87.0,,
43980,3030980,1,1047235,52.95,W,visa,debit,gmail.com,,325.0,87.0,,
44034,3031034,1,1048146,15.45,C,visa,debit,gmail.com,gmail.com,465.0,60.0,,49.0
44041,3031041,1,1048207,15.45,C,mastercard,credit,gmail.com,gmail.com,465.0,60.0,,49.0
44148,3031148,1,1050235,21.804000000000002,C,visa,debit,gmail.com,gmail.com,,,,
44162,3031162,1,1050600,201.0,W,visa,credit,aol.com,,126.0,87.0,52.0,
44200,3031200,1,1051534,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
44205,3031205,1,1051655,200.0,R,visa,debit,gmail.com,gmail.com,325.0,87.0,,
44268,3031268,1,1053589,26.585,C,mastercard,credit,hotmail.com,hotmail.com,,,,
44290,3031290,1,1054366,20.93,C,mastercard,debit,anonymous.com,anonymous.com,130.0,60.0,,998.0
44293,3031293,1,1054453,48.95,W,visa,debit,,,204.0,87.0,9.0,
44335,3031335,1,1055558,286.95,W,discover,debit,gmail.com,,469.0,87.0,389.0,
44433,3031433,1,1060241,450.0,H,mastercard,credit,gmail.com,gmail.com,325.0,87.0,,
44438,3031438,1,1061041,450.0,H,mastercard,credit,gmail.com,gmail.com,325.0,87.0,,
44439,3031439,1,1061099,450.0,H,mastercard,credit,gmail.com,gmail.com,325.0,87.0,,
44451,3031451,1,1061758,450.0,H,mastercard,credit,gmail.com,gmail.com,387.0,87.0,,
44484,3031484,1,1064660,49.0,W,mastercard,credit,gmail.com,,337.0,87.0,921.0,
44497,3031497,1,1067448,90.0,W,visa,debit,gmail.com,,420.0,87.0,,
44506,3031506,1,1069442,546.0,W,visa,credit,hotmail.com,,220.0,87.0,4.0,
44517,3031517,1,1070192,300.0,H,visa,debit,gmail.com,gmail.com,512.0,87.0,,
44542,3031542,1,1074039,59.0,W,mastercard,credit,gmail.com,,337.0,87.0,,
44578,3031578,1,1078753,54.5,W,mastercard,credit,gmail.com,,337.0,87.0,,
44581,3031581,1,1079182,149.5,W,mastercard,credit,yahoo.com,,272.0,87.0,139.0,
44590,3031590,1,1079925,171.0,W,mastercard,credit,yahoo.com,,272.0,87.0,139.0,
44609,3031609,1,1081491,292.5,W,mastercard,credit,yahoo.com,,272.0,87.0,,
44717,3031717,1,1085966,445.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
44727,3031727,1,1086250,445.0,W,mastercard,credit,,,251.0,87.0,12.0,
44728,3031728,1,1086316,100.0,H,visa,debit,comcast.net,icloud.com,324.0,87.0,,
44832,3031832,1,1088744,201.0,W,discover,debit,gmail.com,,143.0,87.0,,
44904,3031904,1,1089959,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
45061,3032061,1,1092575,311.95,W,visa,credit,gmail.com,,330.0,87.0,15.0,
45078,3032078,1,1092827,123.304,C,visa,credit,hotmail.com,hotmail.com,511.0,60.0,,
45118,3032118,1,1093268,124.762,C,visa,credit,hotmail.com,hotmail.com,511.0,60.0,,
45129,3032129,1,1093363,124.762,C,visa,credit,hotmail.com,hotmail.com,511.0,60.0,,
45308,3032308,1,1095862,311.95,W,visa,debit,gmail.com,,325.0,87.0,19.0,
45386,3032386,1,1096823,97.0,W,mastercard,credit,gmail.com,,272.0,87.0,,
45410,3032410,1,1097066,97.0,W,mastercard,credit,gmail.com,,272.0,87.0,179.0,
45559,3032559,1,1098961,226.0,W,mastercard,debit,aol.com,,203.0,87.0,,
45610,3032610,1,1099592,90.0,H,mastercard,credit,yahoo.com,,299.0,87.0,,
45670,3032670,1,1100503,40.693000000000005,C,mastercard,debit,hotmail.com,hotmail.com,,,,
45733,3032733,1,1101280,117.0,W,visa,debit,,,122.0,87.0,,
45863,3032863,1,1102903,184.122,C,mastercard,credit,gmail.com,gmail.com,483.0,60.0,,645.0
45870,3032870,1,1102959,184.122,C,visa,credit,gmail.com,gmail.com,483.0,60.0,,645.0
45899,3032899,1,1103395,184.122,C,mastercard,credit,gmail.com,gmail.com,483.0,60.0,,645.0
45911,3032911,1,1103504,171.0,W,visa,credit,gmail.com,,325.0,87.0,,
46144,3033144,1,1106155,90.0,W,visa,debit,gmail.com,,204.0,87.0,959.0,
46146,3033146,1,1106163,59.0,W,visa,debit,gmail.com,,420.0,87.0,20.0,
46213,3033213,1,1106866,317.5,W,mastercard,credit,,,272.0,87.0,139.0,
46287,3033287,1,1107720,54.5,W,visa,debit,gmail.com,,420.0,87.0,20.0,
46288,3033288,1,1107772,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
46315,3033315,1,1108061,150.0,W,mastercard,credit,,,272.0,87.0,139.0,
46321,3033321,1,1108095,280.0,W,mastercard,debit,anonymous.com,,512.0,87.0,,
46972,3033972,1,1116879,40.635,C,visa,debit,hotmail.com,hotmail.com,161.0,60.0,,
46981,3033981,1,1117071,64.596,C,visa,debit,hotmail.com,hotmail.com,161.0,60.0,,
47005,3034005,1,1117542,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
47021,3034021,1,1117834,335.0,W,visa,credit,gmail.com,,143.0,87.0,424.0,
47094,3034094,1,1118881,28.217,C,mastercard,credit,gmail.com,gmail.com,,,,
47125,3034125,1,1119268,0.467,C,mastercard,debit,gmail.com,gmail.com,,,,
47129,3034129,1,1119327,28.217,C,mastercard,credit,gmail.com,gmail.com,,,,
47211,3034211,1,1120385,57.0,W,visa,debit,,,420.0,87.0,,
47224,3034224,1,1120558,16.79,C,mastercard,credit,gmail.com,gmail.com,431.0,60.0,,49.0
47232,3034232,1,1120614,16.79,C,mastercard,credit,gmail.com,gmail.com,431.0,60.0,,49.0
47238,3034238,1,1120659,554.0,W,mastercard,debit,gmail.com,,191.0,87.0,,
47250,3034250,1,1120749,54.5,W,visa,debit,gmail.com,,420.0,87.0,20.0,
47258,3034258,1,1120983,554.0,W,mastercard,debit,gmail.com,,191.0,87.0,8.0,
47265,3034265,1,1121075,0.467,C,mastercard,debit,gmail.com,gmail.com,,,,7.0
47270,3034270,1,1121137,335.0,W,mastercard,debit,gmail.com,,191.0,87.0,,
47272,3034272,1,1121177,35.0,S,mastercard,credit,,gmail.com,184.0,87.0,,18.0
47350,3034350,1,1122196,117.0,W,visa,debit,,,122.0,87.0,,
47424,3034424,1,1123143,139.95,W,visa,debit,hotmail.com,,231.0,87.0,1.0,
47434,3034434,1,1123266,32.065,C,mastercard,credit,gmail.com,gmail.com,239.0,60.0,,258.0
47667,3034667,1,1126967,117.0,W,visa,credit,aol.com,,272.0,87.0,,
47689,3034689,1,1127185,117.0,W,visa,credit,aol.com,,272.0,87.0,326.0,
47777,3034777,1,1128618,117.0,W,visa,debit,gmail.com,,264.0,87.0,19.0,
47839,3034839,1,1129500,111.95,W,visa,credit,yahoo.com,,269.0,87.0,27.0,
47851,3034851,1,1129694,35.0,W,mastercard,credit,,,204.0,87.0,547.0,
47993,3034993,1,1132054,49.0,W,visa,debit,gmail.com,,191.0,87.0,,
47995,3034995,1,1132081,200.0,R,visa,credit,gmail.com,gmail.com,204.0,87.0,,
48015,3035015,1,1132381,26.585,C,mastercard,credit,hotmail.com,hotmail.com,,,,
48019,3035019,1,1132429,200.0,R,mastercard,credit,gmail.com,gmail.com,220.0,87.0,,
48049,3035049,1,1132853,150.0,W,mastercard,credit,yahoo.com,,272.0,87.0,,
48081,3035081,1,1133412,149.5,W,mastercard,credit,yahoo.com,,272.0,87.0,600.0,
48264,3035264,1,1137679,83.5,W,visa,debit,gmail.com,,420.0,87.0,20.0,
48338,3035338,1,1139948,144.584,C,mastercard,debit,gmail.com,gmail.com,130.0,60.0,,7.0
48344,3035344,1,1140110,144.584,C,mastercard,credit,gmail.com,gmail.com,130.0,60.0,,7.0
48432,3035432,1,1143669,7.171,C,mastercard,credit,gmail.com,gmail.com,,,,
48451,3035451,1,1144625,7.171,C,visa,credit,gmail.com,gmail.com,,,,
48545,3035545,1,1155741,250.0,R,mastercard,credit,gmail.com,gmail.com,181.0,87.0,,
48547,3035547,1,1156064,150.0,R,mastercard,credit,gmail.com,gmail.com,330.0,87.0,,
48550,3035550,1,1157629,600.0,R,mastercard,credit,gmail.com,gmail.com,123.0,87.0,,
48566,3035566,1,1161348,150.0,H,visa,credit,yahoo.com,yahoo.com,204.0,87.0,,
48601,3035601,1,1165620,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
48935,3035935,1,1176067,12.709000000000001,C,mastercard,credit,gmail.com,gmail.com,,,,
48939,3035939,1,1176145,12.709000000000001,C,visa,credit,gmail.com,gmail.com,,,,
48944,3035944,1,1176215,12.709000000000001,C,visa,debit,gmail.com,gmail.com,,,,
48953,3035953,1,1176417,236.95,W,visa,debit,gmail.com,,126.0,87.0,1943.0,
48954,3035954,1,1176442,12.709000000000001,C,visa,debit,gmail.com,gmail.com,,,,
49026,3036026,1,1177871,44.0,W,discover,credit,gmail.com,,204.0,87.0,,
49036,3036036,1,1178067,44.0,W,discover,credit,gmail.com,,204.0,87.0,4.0,
49059,3036059,1,1178452,794.95,W,visa,debit,gmail.com,,177.0,87.0,0.0,
49064,3036064,1,1178538,200.0,R,mastercard,credit,gmail.com,yahoo.com,448.0,87.0,,
49107,3036107,1,1179295,150.0,H,visa,credit,gmail.com,gmail.com,181.0,87.0,,
49165,3036165,1,1180093,214.894,C,visa,debit,gmail.com,gmail.com,,,,
49222,3036222,1,1180716,1224.0,W,mastercard,credit,verizon.net,,330.0,87.0,1.0,
49224,3036224,1,1180774,13.759,C,visa,debit,outlook.com,outlook.com,216.0,60.0,,
49236,3036236,1,1180888,55.0,W,visa,debit,msn.com,,325.0,87.0,,
49260,3036260,1,1181100,55.0,W,visa,debit,msn.com,,325.0,87.0,22.0,
49282,3036282,1,1181379,29.0,W,visa,debit,,,251.0,87.0,24.0,
49378,3036378,1,1182494,55.0,W,visa,debit,msn.com,,325.0,87.0,22.0,
49664,3036664,1,1185567,40.693000000000005,C,mastercard,debit,hotmail.com,hotmail.com,431.0,60.0,,
49673,3036673,1,1185642,40.693000000000005,C,mastercard,debit,hotmail.com,hotmail.com,431.0,60.0,,
49756,3036756,1,1186619,40.693000000000005,C,mastercard,debit,hotmail.com,hotmail.com,161.0,60.0,,
49781,3036781,1,1186851,420.0,W,visa,debit,aol.com,,126.0,87.0,52.0,
49870,3036870,1,1187827,200.0,R,american express,credit,gmail.com,gmail.com,123.0,87.0,,
50184,3037184,1,1191404,34.339,C,visa,credit,gmail.com,gmail.com,167.0,60.0,,537.0
50400,3037400,1,1194017,20.172,C,visa,debit,gmail.com,gmail.com,,,,
50405,3037405,1,1194107,20.172,C,mastercard,credit,gmail.com,gmail.com,,,,
50419,3037419,1,1194251,20.172,C,visa,debit,gmail.com,gmail.com,,,,
50426,3037426,1,1194347,20.172,C,visa,debit,gmail.com,gmail.com,,,,
50439,3037439,1,1194471,664.0,W,mastercard,credit,gmail.com,,299.0,87.0,3.0,
50491,3037491,1,1195141,107.95,W,visa,debit,gmail.com,,315.0,87.0,,
50531,3037531,1,1195685,39.0,W,mastercard,debit,,,315.0,87.0,25.0,
50542,3037542,1,1195837,187.726,C,visa,credit,gmail.com,gmail.com,,,,1.0
50553,3037553,1,1195929,187.726,C,mastercard,debit,gmail.com,gmail.com,,,,1.0
50563,3037563,1,1196012,187.726,C,visa,debit,gmail.com,gmail.com,,,,1.0
50673,3037673,1,1197279,48.43,W,visa,debit,gmail.com,,110.0,87.0,,
50679,3037679,1,1197320,70.718,C,visa,debit,gmail.com,gmail.com,,,,258.0
50697,3037697,1,1197454,70.718,C,visa,debit,gmail.com,gmail.com,,,,258.0
50717,3037717,1,1197782,70.718,C,visa,credit,gmail.com,gmail.com,,,,258.0
50736,3037736,1,1198114,37.0,W,mastercard,debit,live.com,,181.0,87.0,,
50770,3037770,1,1198613,47.0,W,visa,debit,gmail.com,,204.0,87.0,,
50788,3037788,1,1198838,2.449,C,mastercard,credit,anonymous.com,anonymous.com,,,,7.0
51064,3038064,1,1202718,49.0,W,visa,credit,gmail.com,,204.0,87.0,,
51076,3038076,1,1202888,49.0,W,visa,credit,gmail.com,,204.0,87.0,48.0,
51100,3038100,1,1203204,171.0,W,visa,debit,,,191.0,87.0,,
51105,3038105,1,1203264,311.95,W,visa,credit,gmail.com,,310.0,87.0,23.0,
51116,3038116,1,1203398,171.0,W,visa,debit,,,191.0,87.0,1.0,
51284,3038284,1,1205388,26.585,C,visa,debit,hotmail.com,hotmail.com,,,,
51356,3038356,1,1206377,159.95,W,visa,debit,gmail.com,,299.0,87.0,1289.0,
51373,3038373,1,1206592,117.0,W,visa,credit,gmail.com,,308.0,87.0,12.0,
